tx_id	gene_id
ENSGALT00010000582	ENSGALG00010000309
ENSGALT00010000583	ENSGALG00010000309
ENSGALT00010000584	ENSGALG00010000309
ENSGALT00010000595	ENSGALG00010000313
ENSGALT00010000604	ENSGALG00010000318
ENSGALT00010000617	ENSGALG00010000326
ENSGALT00010000632	ENSGALG00010000332
ENSGALT00010000638	ENSGALG00010000336
ENSGALT00010000655	ENSGALG00010000345
ENSGALT00010000669	ENSGALG00010000352
ENSGALT00010000671	ENSGALG00010000354
ENSGALT00010000672	ENSGALG00010000355
ENSGALT00010000675	ENSGALG00010000358
ENSGALT00010000707	ENSGALG00010000369
